RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session1DateUtc,Session2,Session2Date,Session2DateUtc,Session3,Session3Date,Session3DateUtc,Session4,Session4Date,Session4DateUtc,Session5,Session5Date,Session5DateUtc,F1ApiSupport
1,Australia,Melbourne,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,Australian Grand Prix,conventional,Practice 1,2018-03-23 12:00:00+11:00,2018-03-23 01:00:00,Practice 2,2018-03-23 16:00:00+11:00,2018-03-23 05:00:00,Practice 3,2018-03-24 14:00:00+11:00,2018-03-24 03:00:00,Qualifying,2018-03-24 17:00:00+11:00,2018-03-24 06:00:00,Race,2018-03-25 16:10:00+11:00,2018-03-25 05:10:00,True
2,Bahrain,Sakhir,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,Bahrain Grand Prix,conventional,Practice 1,2018-04-06 14:00:00+03:00,2018-04-06 11:00:00,Practice 2,2018-04-06 18:00:00+03:00,2018-04-06 15:00:00,Practice 3,2018-04-07 15:00:00+03:00,2018-04-07 12:00:00,Qualifying,2018-04-07 18:00:00+03:00,2018-04-07 15:00:00,Race,2018-04-08 18:10:00+03:00,2018-04-08 15:10:00,True
3,China,Shanghai,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,Chinese Grand Prix,conventional,Practice 1,2018-04-13 10:00:00+08:00,2018-04-13 02:00:00,Practice 2,2018-04-13 14:00:00+08:00,2018-04-13 06:00:00,Practice 3,2018-04-14 11:00:00+08:00,2018-04-14 03:00:00,Qualifying,2018-04-14 14:00:00+08:00,2018-04-14 06:00:00,Race,2018-04-15 14:10:00+08:00,2018-04-15 06:10:00,True
4,Azerbaijan,Baku,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,2018-04-29,Azerbaijan Grand Prix,conventional,Practice 1,2018-04-27 13:00:00+04:00,2018-04-27 09:00:00,Practice 2,2018-04-27 17:00:00+04:00,2018-04-27 13:00:00,Practice 3,2018-04-28 14:00:00+04:00,2018-04-28 10:00:00,Qualifying,2018-04-28 17:00:00+04:00,2018-04-28 13:00:00,Race,2018-04-29 16:10:00+04:00,2018-04-29 12:10:00,True
5,Spain,Barcelona,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,2018-05-13,Spanish Grand Prix,conventional,Practice 1,2018-05-11 11:00:00+02:00,2018-05-11 09:00:00,Practice 2,2018-05-11 15:00:00+02:00,2018-05-11 13:00:00,Practice 3,2018-05-12 12:00:00+02:00,2018-05-12 10:00:00,Qualifying,2018-05-12 15:00:00+02:00,2018-05-12 13:00:00,Race,2018-05-13 15:10:00+02:00,2018-05-13 13:10:00,True
6,Monaco,Monte Carlo,FORMULA 1 GRAND PRIX DE MONACO 2018,2018-05-27,Monaco Grand Prix,conventional,Practice 1,2018-05-24 11:00:00+02:00,2018-05-24 09:00:00,Practice 2,2018-05-24 15:00:00+02:00,2018-05-24 13:00:00,Practice 3,2018-05-26 12:00:00+02:00,2018-05-26 10:00:00,Qualifying,2018-05-26 15:00:00+02:00,2018-05-26 13:00:00,Race,2018-05-27 15:10:00+02:00,2018-05-27 13:10:00,True
7,Canada,Montréal,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,2018-06-10,Canadian Grand Prix,conventional,Practice 1,2018-06-08 10:00:00-04:00,2018-06-08 14:00:00,Practice 2,2018-06-08 14:00:00-04:00,2018-06-08 18:00:00,Practice 3,2018-06-09 11:00:00-04:00,2018-06-09 15:00:00,Qualifying,2018-06-09 14:00:00-04:00,2018-06-09 18:00:00,Race,2018-06-10 14:10:00-04:00,2018-06-10 18:10:00,True
8,France,Le Castellet,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,2018-06-24,French Grand Prix,conventional,Practice 1,2018-06-22 12:00:00+02:00,2018-06-22 10:00:00,Practice 2,2018-06-22 16:00:00+02:00,2018-06-22 14:00:00,Practice 3,2018-06-23 13:00:00+02:00,2018-06-23 11:00:00,Qualifying,2018-06-23 16:00:00+02:00,2018-06-23 14:00:00,Race,2018-06-24 16:10:00+02:00,2018-06-24 14:10:00,True
9,Austria,Spielberg,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,2018-07-01,Austrian Grand Prix,conventional,Practice 1,2018-06-29 11:00:00+02:00,2018-06-29 09:00:00,Practice 2,2018-06-29 15:00:00+02:00,2018-06-29 13:00:00,Practice 3,2018-06-30 12:00:00+02:00,2018-06-30 10:00:00,Qualifying,2018-06-30 15:00:00+02:00,2018-06-30 13:00:00,Race,2018-07-01 15:10:00+02:00,2018-07-01 13:10:00,True
10,Great Britain,Silverstone,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,2018-07-08,British Grand Prix,conventional,Practice 1,2018-07-06 10:00:00+01:00,2018-07-06 09:00:00,Practice 2,2018-07-06 14:00:00+01:00,2018-07-06 13:00:00,Practice 3,2018-07-07 11:00:00+01:00,2018-07-07 10:00:00,Qualifying,2018-07-07 14:00:00+01:00,2018-07-07 13:00:00,Race,2018-07-08 14:10:00+01:00,2018-07-08 13:10:00,True
